,Unnamed: 0,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0.1
1618,3174,3174.0,@lopezdoriga cómo amaneció la RAMERA mediatica ? 🤣🤣🤣🤣. Cuántas entrevi$ta$ el día de hoy ? Jajajajaja,1,0,1,
3488,298,,@Vannesa2A dentro de 50 años https://t.co/0x8bq8A9lB,0,0,0,298.0
1469,476,,@vicfc7 @SarroyoSi @GMonroyEnergy @erickussalas Viejo ahumado por eso de la termoeléctrica.,0,0,0,476.0
3359,2450,,"A mi me pasa, pero hago el mejor intento por cumplir, y no es que no quiera hacerlo, es que a veces se me sale de las manos pero me hace sentir pésimo quedar mal. https://t.co/Ik9Nks45SP",0,0,0,2450.0
2083,2526,,"@winshifter @SirWikiTek @AndiUchiha5 Creo que estás llevando un problema que todos los devs que trabajamos con SQL hacemos en nuestro día a día. Aunque, gracias a Dios, los ORM fueron inventados.",0,0,0,2526.0
2974,6000,,@azucenau Viejo hipócrita.,0,0,1,6000.0
957,2655,,se me hace una estupidez y falta de respeto dejar a los profes “plantados” nomas por sus huevos,1,0,0,2655.0
3613,4537,,"@elErickJuarez @delfinagomeza Vivir fuera del presupuesto es vivir en el error... o en realidad ya no será más Candidata, ya está muy quemada y no como quiera la vuelven a comprar🤔",0,0,0,4537.0
1824,3207,,@puro_beIlaqueo @CitlaHM A caso esta llegando un Narco?,0,0,0,3207.0
2535,1652,,Maldito Año Nuevo y lo que me trajooo,0,0,0,1652.0
1550,4269,,"@tigrenegro57 @TigresOficial @christusmx @DiegoReyes @bettercallCobra Ya tengo el contexto. No mames. No vas a estar llorando en plena transmision cabrón! 

Para eso esta el medio tiempo y el post",1,0,0,4269.0
1319,1585,,Habrá que armarse para repeler a esta gentuza... como permitieron esto en Europa....??? https://t.co/zmEa7aTCNp,0,0,1,1585.0
1023,1395,,"@zartejano Por favor manden foto desde el estadio (:

@Christi65112187 @JuanMan74979821 @MaciasArtu

A apoyar al @clubleonfc  con todo !!!",0,0,0,1395.0
351,4299,4299.0,Esta lloviendo y yo sin poder caminar y sin saber cómo carajo irme a casa. Ando valiendo vrg!!!,1,0,0,
2196,1673,,MALDITO MBAPPE ARROGANTE CHINGA TU PUTA MADRE,1,1,1,1673.0
919,3111,3111.0,@lesm93 Aaaa provinciano ahora entiendo y 🏳️‍🌈 🤣,0,0,1,
1430,3783,,@culeadores Hermoso le queda amiga.  Volver  loco  a su pareja.... saludos amigos feliz y lujuriosa tarde.,0,0,0,3783.0
2605,2599,,@QuePocaMadreMex @FerVilchisMx  mira tu seguridad de cagada en la veleta están pasando a rentear a los negocios y tu con tus mamadas,1,1,1,2599.0
1084,3207,3207.0,"@soyjoseyoutuber Aclarando mi apeido es Zamora
Pero no soy pariente del viejo rancio con ojos de culo de botella...",1,0,1,
1563,2850,,"@MiguelUribeT Pobreza mental la suya,sigue llorando el rafa gorgorí del congreso,el defensor de los ricos, la reforma no tiene reversa señor,mas bien vaya alistando el bolsillo que es poco para las necesidades del país...ayude mas bien y deje esa 😭😭😭😭mezquino y tacaño.",0,0,1,2850.0
1201,4113,,"Tachirenses han vendido ""todo"" para meterse en supuestos negocios virtuales donde “salen con las tablas en la cabeza”  https://t.co/Ot7KWJarrw #RegionesLaPatilla",0,0,0,4113.0
3307,5230,,"@ClouthierManuel @SCJN Leerte a ti,solo  das lástima, Gordo.",0,0,1,5230.0
3463,4520,,"Me deshidrate con la historia de esta parejita 😭, que difícil debe ser para el señor Hwang ser olvidado por su esposa y recordarle todo los días su relación, pero para la señora Choi también debe ser muy difícil 😭😭

#IfYouWishUponMe
#IfYouWishUponMeEp7 https://t.co/k79vpxSxO8",0,0,0,4520.0
1200,1518,1518.0,Pinche conductor del uber tiene un humor bien gacho🤮,1,0,0,
457,5827,,"¡Lograron salir ilesas!🐳 La ballena se tragó a las dos mujeres para después escupirlas, el momento quedó grabado. https://t.co/tfE6NMhdWI",0,0,0,5827.0
3675,4294,,Siguen lloviendo boyas en #Apodaca 🆘🙄 ojalá empiece a llover pavimento para que por fin se tapen https://t.co/byaH9v37hE,0,0,0,4294.0
3103,4470,,@JTrianaT @lopezobrador_ Tu enfermedad mental está habiendo estados en tus pensamientos.,0,0,0,4470.0
1173,271,271.0,"@DanielMalpica95 Chale, da vergüenza mundial ver a un wey tan blandengue e inepto
Neta que @lopezobrador_ ya superó y por mucho la estupidez presidencial de cualquier otro",1,0,1,
65,3473,3473.0,"Hasta de portero la hace el HDCMP del esperpento, que weco sidoso más ridículo. https://t.co/Jny7DVVctD",1,0,1,
407,1060,,"Quiere saber cuanto le pagaban en el gobierno anterior al actual ministro de comunicaciones de @XiomaraCastroZ  busque lo en este listado, Milton Benitez( perro amarillo) https://t.co/4w8XtGuxwv",0,0,0,1060.0
3245,5027,,"@CFCUruguay 1- Creo que se podría cambiar de sistema, no de formación pero si otra forma de jugar más ""sencilla"" por lo pronto, algo tipo Conte
2- La pésima falta de ideas dentro del campo, no hay coordinación para pasar, abrir espacios, desmarcarse o tirar
3- Depende si es autocrítico o no",0,0,0,5027.0
231,3842,3842.0,@bta_Demian Desgraciado asqueroso.,0,0,1,
3101,3987,,"Benditas redes sociales que le desmontaron el discurso de ""centro"" a la derecha hondureña. Hoy esa misma derecha le apuesta al blandengue argumento del ""apoliticismo"".",0,0,0,3987.0
1191,2270,2270.0,@BeatrizValleM @CarlosZelayaR Dedicate a trabajar vos marimacha estas cortada con el partido sos una traidora de primer nivel,0,0,1,
1466,4839,4839.0,Rica meada le pegaron a los sidosos,1,0,1,
2283,5335,,"@beltrandelrio Sería muy pendeja tu vieja si no supiera que hay tres escenarios posibles.

1.- Que no puedas contestar
2.- Que no quieras contestar
3.- Que no sepas contestar

Pero viniendo de usted, todo es posible.",1,0,1,5335.0
1155,4713,4713.0,"Una potencia que, además, es un principal sostén del régimen que oprime a Venezuela. 
De manera que, desde cualquier perspectiva que se lo considere, Carlos Raúl Hernández y su corte de lameculos han perdido toda autoridad moral para pretender dictar la línea a la oposición.",1,0,0,
1587,1445,1445.0,@rnmantecas Los mismos que envidian el fichaje del brasileño con las gatas o el franchute con los chiquitines 🤣🤣🤣🤣,0,0,1,
3676,918,,"@AzafranConMiel Era. De ser la tarjeta mejor recibida en cualquier parte pasó a ya no serlo en muchas, así que ya no vale lo que cuesta.",0,0,0,918.0
847,2464,2464.0,"Más que ""monotematico"" pareces mononeuronal.",0,0,1,
3216,3458,,"Un gran apoyo para los padre e hijos , excelente trabajo por parte del gobernador Alfredo del Mazo ☺️#SeguimosDandoResultados
#5toInformeEdomex https://t.co/nsltZKIifx",0,0,0,3458.0
3735,5819,,"@joserra_espn @Chivas No dijiste lo mismo cuando le regalaron el penal de la final con tigres, traga cuando hay, jajaja",0,0,1,5819.0
579,4359,4359.0,@edsontapia10 @Einyel0923 Jjajaja chingado ni una ni otra 🙃,1,0,0,
771,255,255.0,"@LaMaraDice Desde que le respondes una historia a la bicha y vas con intenciones de hacerle ver qué está bonita,puede estar bonita pero así como no te robas un BMW y solo lo ves de lejos y luego se te olvida así tiene que ser con otras mujeres. Si ya le echaste el ojo a otra,mejor dejala ya",0,0,0,
1828,2588,,"@betorod67558858 @DonInsensato_ @LaydaSansores Tantita madre tú mi estimado, mira nada más lo que vienes a defender y por lo que intentas obvio sin lograrlo enojarme o quizá intimidarme o lo que sea que tu retorcida mentecilla mal intenta: https://t.co/pjv1nryOkf",0,1,0,2588.0
1106,1802,1802.0,"@VrD77488246 @Discosthu @GossipBOY_XOX0 @GalaMontes2 Le rompiste el hocico al buen Joseph, tan orgulloso del cacas!",0,0,1,
1887,2629,2629.0,@soyjoanagomez @Mariagomes1982 Ya no se si quiero ser padrastro o yerno 😂 🤤,0,0,0,
1132,4006,4006.0,"Meditemos estos misterios divinos y patrióticos mientras procesamos en el Paseo del Pendón Real, confiando en los auxilios del Cielo para que la Cristiandad triunfe sobre el adversario y las naciones rebeldes.",0,0,0,
2729,2678,,"Ser un buen cabron es cuando lo que piensas, dices y haces, está en armonía, tener congruencia entre lo que se dice con la boca y se sostiene con los huevos, habla más de un hombre.",1,0,0,2678.0
1332,483,483.0,"@chaparralgats @jtovarr Jamás pensé que usted era de esa calaña, pero meterse con una Santa como lo es La Madre Tersa es una maldad en extremo. Lo creía una persona amante de la cultura del bien y no del mal. Dios lo perdone. Lo voy a bloquear. No soporto a las personas como usted.",0,0,0,
158,3015,,"Una compañera del trabajo pone ""Symbolic"" del grupo Death y lo primero que pienso es: cómo se podría perrear con eso??
(Mi cerebro quiere fugarse del mal de puerco)",0,0,0,3015.0
1562,3170,,"¿Por qué les gusta tanto el enamoramiento? Está cool emocionarte por un mensaje y el first kiss y todo eso, pero no se comprará con la etapa dónde se tienen toda la confianza y están los dos en pijama tomando vino, abrazados, hablando de sus sueños y miedos más profundos.",0,0,0,3170.0
2833,2930,,Y el traidor @alitomorenoc  y su partido PRI=@PartidoMorenaMx = basura https://t.co/HuOXXcA0ED,0,0,1,2930.0
1617,5350,,"#Bolívar | 📍 En la comunidad Chirica Vieja de San Félix, al sur de Ciudad Guayana, los servicios básicos son deficientes. 
https://t.co/Un7VUSxdAY",0,0,0,5350.0
597,3136,3136.0,"@PabloHiriart @ManuelBartlett @lumendoz Es el hartazgo, ya basta también de que nos solicite que nos comportemos, cuando ellos nos tratan como se les inchan su chingada gana, entiendo tu punto, pero se lo han ganado a pulso, lo de nosotros es simple reclamo, pero ellos estan abusando del poder.",1,0,0,
671,2438,2438.0,@MichelCaballero Este imbecil hace peticiones al gobierno nacional de vainas que le corresponde a la rectora eterna y luego habla de autonomía este mongólico es el relevo de Goicochea y compañía pobre pendejo no sabe dónde está parado,1,1,1,
3905,1379,,"@beatfunker @frekerkap @JCarlos_Valerio Obvio si, ese puto huevon ha de preferir estarse rascando los huevos en su casa en lugar de irle a chingar",1,0,1,1379.0
1801,2215,,"@_VicenteSerrano @CarlosLoret @AlfredoJalife2 No te queda estar de mamarracho cuándo sabemos que eres #ElChillónSerrano
👌🏻😎🚬🌫️",0,0,1,2215.0
1927,2997,2997.0,"@Gin_pisco @ChrisGa1999 @Aquiles_kuento_ @MasculinismoLi1 ya sabes, la agenda LGBT:

-inclusión en todos los medios
-Lo de los géneros no binarios
-La teoría de la interseccionalidad
-La ""necesidad"" de hablar estos temas con niños 
-Apoyo a las teorías de género

y entre otros, no solo es matrimonio y adopción, ojalá solo lo fuera.",0,0,0,
1378,1145,,"como me da de risa ""te metieron pasaje"" por la gran puta jjajajajajajajajajaja",1,0,0,1145.0
1975,761,,@resilienteEz @IngridBrans @baidon_bicho @dejateilumino Lo dice un fanático de un politico super ignorante. ¿Con qué cara?,0,0,1,761.0
2616,6009,,"@nuryamh No se hipócrita Nuria, la genge está informada de manera debida no creas que vos tenés la información como exclusiva, te dedicas a ladrar de manera burda defendiendo lo que vos críticas, hasta para eso es de ser inteligentes, se que tu papel es para quedar bien con tu patrono",0,0,1,6009.0
312,2875,2875.0,¿Que pasó pesetero? ¿Ya no eres feliz en tu jaula de oro? https://t.co/ApIGpbxBvN,0,0,1,
2480,3133,,"@AleGaray700 @ESPNKnockOut Tu lo haz dicho MMA, estoy hablando de box",0,0,0,3133.0
2819,110,,@la_bu_ Es llegando a una tienda y a hacerlas mierda en la maquina tragamonedas hasta bajar el enojo,1,0,0,110.0
1744,1321,1321.0,"@VICENTE_GARZA @alitomorenoc No soy priísta"".... Jaja eres un vulgar facho que tiene Kaka en el cerebro por eso procesas la información así",0,0,1,
146,587,587.0,"@DavidSanchezCa @lopezobrador_ A lo está haciendo un golpe de estado, mientras posas con un carcamal vendido a la oposición y de quién su padre estaría decepcionado, y nos somos sicarios de anlo,somos gente que solo creemos que eres un pendejo",1,0,1,
2332,1123,,Wey qpd con lo mucho que he llorado estos días!!!,1,0,0,1123.0
2551,1714,,@MyriamMonteCruz @AdastraRegalado Eso sí es una cara de memela jajajaja aplastada,0,0,0,1714.0
2285,2148,,@estebancoach Lo de menos es el color 😏,0,0,0,2148.0
1701,941,941.0,@UnicableOficial La verdad ya no se a quien más llamar o escribir para que me reconecten el servicio. Son unos irresponsables. Imagino que no me van a cobrar el mes completo.,0,0,0,
3800,808,,@lpazosp Ojalá la apliquen a los ratas del erario... Como toda tu miserable familia.,0,1,1,808.0
726,4168,4168.0,@yessaljiz Ay si aún me siguen bajando ese billete…. Y el peaje… pero el cagadal que dejó el otro mojon en 12 años ni se puede arreglar todavía en 7 meses va,1,0,1,
1388,1324,1324.0,"@PianistaSnow @BettoGongora Acabas de llegar faino, aún queda lo mejor por venir",0,0,1,
1539,4189,4189.0,"@umana_ronal Mira @umana_ronal te daré un consejo "" Deja ya de meterte en política ya sos un ruco cagado  disfruta los últimos años de vida que te quedan, tomate un café, ponete un gorro, ponete una pijama y disfruta la poca vida que te queda, que pueden hacer ya ustedes?... Nada!!!",1,1,1,
1462,2299,,"Me queda claro que en el @PartidoMorenaMx están al servicio del traidor monreal porque los veo lerdos, pasivos, inútiles ante las tropelías de ése sujeto y su achichincle gibran, y lo peor es que siguen sin hacer nada. Están ahí por nuestros votos. Inútiles.",0,0,1,2299.0
331,4882,4882.0,"Minga que iba a llevar a mi casa jajaja,vacío tenía el tanque ñio",1,0,0,
2748,4354,,"@avendano89 @AdvySteven7 @ElInmortal____ ¿Que tendría que ver Modric con Iniesta en la comparativa de primera mano? Subnormal. 
BTW, Modric podría jugar 100 años y seguirá por debajo del Español.",0,0,1,4354.0
2051,4277,,"@jrsestaca Los libertarios cómo argumento para derribar chairos jajajaja, no mames esos tipos no son trascendentes en sus países, búscate una narrativa chingona, por eso la oposición está jodida en México. 
Seguro piensas que AMLO es socialista, ¡Que bruto!",1,0,1,4277.0
2130,2286,,"@Newsmexico4 Si la denuncia fuera en serio, hubiera acudido la #DelfinaRateraDe4Ta en persona, y no una puta achichincle. Es más un amago político que otra cosa. Se sabe culpable y no denunciará.",1,0,1,2286.0
1422,5120,,"@DJMatus Y las bolas están cacarizas, no sólo golpean: además rasguñan.",0,0,0,5120.0
187,4385,4385.0,@_Noticias_360 @jo52170739 Chingo mi madre si la pendeja esta no es de Morena,1,0,1,
3293,3949,,"@CruzAzul Y se la arruinó el técnico improvisado tirando al equipo atrás casi todo el segundo tiempo, el agrandado del popodrilo y falso histórico con su marca blandengue y su famosa jugada de servir de banquito para que los rematadores se acomoden mejor",1,0,1,3949.0
736,77,77.0,"@Gbastidas @lcsuzzarini No se puede votar en contra de un amigote, me Astengo",0,0,0,
3082,1603,,"@bpnly No señora! Ningún desentendido, el aclaró la situación y cualquiera puede equivocarse y más cuando no se tiene idea de una red. Me paso y fue nefasto, me imagino mi niño cómo se sintió porque gentuza como ustedes todo lo mal interpretan. déjenlo ya! Tu fav tiene claro sus gustos!",0,0,1,1603.0
3063,4799,,Tendremos poca variación en el tiempo.#CiegodeAvila #Cuba #ElTiempoenCuba #SomosCuba #Weather https://t.co/No1qeUBSoe,0,0,0,4799.0
3682,211,,@ryo_hermoso @FelipeCalderon Justamente hoy el imbécil de @lopezobrador_ le dio la razón.,0,0,1,211.0
1361,2041,,"GOOOOOOOOOOOOOOOOL DEL DORTMUND. Recuperación en medio campo, control de Guerreiro, pase filtrado para Gio Reyna que gana línea de fondo, sale el arquero, pase retrasado para Guerreiro que termina la jugada en la red para el segundo. 42'. BVB 2-0 COP.
#UCL",0,0,0,2041.0
1939,487,487.0,@elperiodico Gentuza de mala calaña.,0,0,1,
917,4306,,@Gianca_LP Ojalá llegara a cagarse en todo verdad,1,0,0,4306.0
622,1088,,@salvadoodles aaaah hajsjsjs pues yo no soy muy bonita pero siempre he podido coger; me suena a q un gay no supo aceptar el rechazo de algún wey y se quiso hacer la lista con su nuevo término de “capital sexual” para excusar su coraje lol,1,0,0,1088.0
1974,1764,,"#Deportes | La cozumeleña participó en el Campeonato de Vela Allianz en los Países Bajos, como parte de la selección mexicana de este deporte que se está preparando para el Campeonato Mundial de Brest, Francia en octubre próximo.
https://t.co/CWqhyYahO8",0,0,0,1764.0
779,5163,,"Cdsm con ese bajón 😭

Venezuela dame 1 día de paz que la cocina eléctrica está echándole bolas para el almuerzo",0,0,0,5163.0
3470,2626,,"@fabioli63 @cindyBO23 No sabía que ser lame huevos era decir la verdad, corazón, y no necesito que me paguen, cuídate que la envidia no deja nada bueno. XOXO😚😚😚😚😚",1,0,1,2626.0
659,1921,,"#Nota  Al igual que Lecumberrí, antigua penitenciaría mexicana; el Archivo Municipal de Lagos de Moreno, se pretende que próximamente este ubicado en la antigua cárcel real. 
Por: Rocío Salas Arreola 
https://t.co/C2q48V8e4T",0,0,0,1921.0
262,3482,3482.0,@RodolfoLanderos que no haya nacido el puto manco sidoso ese,1,1,1,
77,543,,"@JumboVismaRoad @rogla Vamos Campeón! Vamos, recupérate y demuéstrale a todos que sigues siendo El Puto Amo! #FuerzaRogla",1,0,0,543.0
1048,3582,,✨ Cocinandole a mi gato hígado para no entrar en una crisis de ansiedad porque no sé sobrellevar cuando alguien a mi cuidado se enferma ✨ https://t.co/kDYw1g4hnr,0,0,0,3582.0
625,2723,,Sí pero el enano de Ging sigue siendo un padre de mierda https://t.co/asZnNQ0qpW,1,0,1,2723.0
3591,2762,,Lo más triste de este país es q t obliga a abandonar la familia para poder tener un futuro mejor.,0,0,0,2762.0
1588,5073,5073.0,"@pedroferriz3 @lopezobrador_ Tanto anabólico ya te puteo el cerebro...
Vas a acabar como el autodenominado Padre del Análisis Superior..
Puros pendejos inflados!!!",1,0,1,
3206,3307,,"@celesmadrigal El discurso de odio no es una opinon, 1000th vez que se le dice. Si queda algun idiota en esta red que no sepa la diferencia aún, es pura juponada.",0,0,1,3307.0
13,1026,1026.0,"¡Mira este reto, ""Un logotipo de selección para cada grupo"" - Consigue al menos un cromo con un logotipo de selección de cada grupo del torneo! #PaniniStickerAlbum https://t.co/FylPfqDwjb #PaniniStickerAlbum",0,0,0,
3446,4406,,"@ArturoZ_ @crizremixed @NoVive_Socialis Uy si, muy chavista soy por usar la bandera de mi país jajajaja subnormal.",0,0,1,4406.0
2826,2628,,Un refrigerador de esos disque inteligentes le dijo a su dueño “te hacen falta huevos” 😱😅🙊,0,0,0,2628.0
1287,3041,,"@arielmaceo86 Vean el cerebro de este gusano, solo le interesa que su tuwitts salga y le paguen su dinerito, así de bajos y miserables son....",0,0,1,3041.0
3610,3741,,"@Zdravesky @ParamountPlusLA @erickelias Una serie que te hace sentir bien. Pobre acomplejado el que tiene que decir algo en inglés para sentir que tiene otra categoría, igual de ridículo que Martha Debayle",0,0,1,3741.0
2568,546,,@sromero1717 @Xvictoria201 @_PonchoDeNigris Aguas puto que andamos en jauría,1,1,1,546.0
583,4878,,@MemoFiguroso Yo viví toda mi infancia en zonas militares y jamás había visto tantos como ahora 🙆🏻,0,0,0,4878.0
3760,1625,,"Y me dice: ah no mames cuando era estudiante la veía. Maldito perro desgracidado porque no me habías dicho 
O seaaaaa me estás diciendo que pude ser tuntuncita desde hace mucho",1,0,1,1625.0
80,3531,,"@Peter__17 Ay no 😩😩
Yo si no, buscando a dónde irme estoy porque ya estaba en paz de no ver eso, pero entiendo que a otros si les gusta jajaja",0,0,0,3531.0
1835,4607,,@Diego_Lopez001 te toca mi mala suerte,0,0,0,4607.0
548,4578,4578.0,"El niño que me gusta del gym me topo y me habló en el banco.
Ya me puedo encular?",1,0,0,
1984,185,,"@HLGatell CHATPM imbécil, te deseo te escupan la comida en todos lados a los que vayas.",0,1,1,185.0
43,1441,,@Mike_Oviedo Imbécil y lameculos...peligrosa combinación...,1,1,1,1441.0
2514,2261,,@alvaro_delgado @ClaudioXGG @gdehoyoswalther El padre es @georgesoros su trabajador es @ClaudioXGG y su achichincle es @gdehoyoswalther,0,0,1,2261.0
2505,4750,,¿Lo de los posibles cortes de energía este invierno traerá la jornada de 35h? Es para una cosa.,0,0,0,4750.0
2372,4898,,"La lógica economista qué NUNCA el pueblo podrá entender, el único crecimiento económico es para un sólo grupo de la sociedad, el pueblo venezolano sigue sufriendo por el bajo poder adquisitivo, culpa de una moneda qué no siquiera es nuestra https://t.co/XOAiI2W4v1",0,0,0,4898.0
