,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0
5838,,"@jgnaredo Bola de porros, como los que ahora nos gobiernan. ¡Vaya regada de tepache de hicimos al hacer que, de una manera u otra, hayamos permitido que el vástago de pelandusca macuspanera llegara al poder!",0,0,0,5838.0
4860,,Hace poco en una conversación de post guardia con mi Doctorcita linda @Valebhg le decía; que mi decisión de hacer ejercicios (9 meses) es motivado a muchas cosas pero la más importante es Envejecer Saludablemente Activa y jamás ser una preocupación por mi salud para mis hijas,0,0,0,4860.0
2236,2236.0,"👩María Isabel Ortiz Mantilla, Titular de la recién creada @M_AmbienteGto, estará presente en nuestra 6ª edición.

👋 Sigue de cerca su participación en📍Poliforum León en #Guanajuato🇲🇽, del 31 de agosto al 3 de septiembre.

¡Te esperamos! https://t.co/biIACWz5WM",0,0,0,
4079,4079.0,"Con el objetivo de beneficiar a más gente continuamos con el programa #FotoEnTuColonia 📸, les comparto algunas imágenes de la jornada en el Pueblo de San Juan de Aragón. #SoyYuririAyala #DefendiendoTusDerechos https://t.co/CteqeBc3QI",0,0,0,
2498,,@OVIALCDMX Que pasa en Felix Cuevas desde av universidad y hasta insurgentes? Hay mucho tráfico,0,0,0,2498.0
1410,1410.0,@ecuernavaco2 Que te suman la cuenta para ver cuánto gastas?¡😎Floripondio....,0,0,0,
1070,1070.0,@Laloblau El brazo cuico... 🥺,0,0,0,
990,,"@aida_quilcue @RevistaSemana @petrogustavo Gobierno de Cambio. 
Claro que cambio el gobierno, un gobierno pulcro a un gobierno sucialista asqueroso.",0,1,1,990.0
2553,2553.0,@SoyAddictGame @MikaelaDrullard Ven a callarme niñato y te callo yo en coplas gitanas! https://t.co/0ygnj2WHq1,0,1,0,
5088,,@AnnieSexxxTeen Que rico yo quiero también que me dez unas chupadotas de verga,1,0,0,5088.0
999,,@ShaunTrack Asqueroso y repugnante drogadicto,1,1,1,999.0
1845,,"que asco me da cuando en los menús dice ""costra de queso"" 🤢",0,0,0,1845.0
1450,1450.0,Este chayotero ¿ Que hace en canal once? Si trabajas en ADN 40 ¿O ya te corrió tu patrón ? Bueno el problema es que no sirves .no has hecho nada fregón . Solo lees noticias ahí aplastado . Así como .eres lacra de la información . Así como Ciro. Dóriga . https://t.co/JRlxnqV77M,1,0,1,
4538,,"@aracelibs Podrás decir  misa, pero la realidad es que tu patrón Calderón estaba al servicio del Cártel de Sinaloa con García Luna.",0,0,0,4538.0
3350,,"Que dirán personas como el pendejo de Damian Alcázar, ahora que su presidente está haciendo lo mismo que hace poco criticaban jajajajaja pinche idiota https://t.co/OBYvhzpt3h",1,0,1,3350.0
3377,3377.0,"#51AñosDeExcelencia✈️ || Una vez finalizado el acto, los presentes disfrutaron de un merecido compartir en el Salón de Usos Múltiples de la institución, festejando así 51 años de vanguardia y excelencia aeroportuaria

¡En el IAIM celebramos nuestro 51° Aniversario! https://t.co/z1QnbWI2F9",0,0,0,
3651,3651.0,serían mi hermano dándole al tortillero un toke?,0,0,0,
2794,,@ManuelVegaMX @lopezobrador_ Pues si @lopezobrador_ en tu equipo tienes puro vejestorio,0,0,1,2794.0
5706,,"@OFM2020 Chirriones (comida china, ejotes dulces con carne de marrano , salsa de soya, jengibre)",0,0,0,5706.0
3324,3324.0,"🚔 Una presunta falla cardíaca le quitó la vida a ruletero que conducía su taxi en calles de la alcaldía @AlcaldiaAO  ⬇️

https://t.co/03HWIC9TqT",0,0,0,
125,125.0,"#ÚltimaHora 🚨 El cuerpo del hombre, que no presentaba signos de violencia, quedó atorado en la orilla del arroyo.
https://t.co/hbBkmn73I5",0,0,0,
1415,,"Por favor Indiqueme Estidad Federativa de su Interes opara agendar la cita. 
#citasSAT #citas #SatSinCitas #citasat #citasat2022",0,0,0,1415.0
3501,3501.0,"@VidalQuadras Creo que el problema no fue la espada, el detalle es que la “procesión” iba acompañada por una soflama política: “Alerta (bis) que camina la espada de Bolívar por América Latina”. Esa soflama es de origen chavista: la “espada” la usaban sus seguidores para referirse a Chávez.",0,0,0,
4587,4587.0,mis respetos a la persona q me vuelva a encular,1,0,0,
3674,3674.0,@elTotumoVerde Verga compaio el próximo que haga se lo cambio por unos cuinches guisaos y de acompañante unos tranca pecho .😜😜😜,0,0,0,
4284,4284.0,"Hoy me tocó el ácido zoledrónico que me ponen para los huesos cada 3 meses. Yo tratando de estar bien y sacando ánimos de donde no hay, ah pero no, esta carajada siempre me da una quiebrahuesos de 24 horas 😖🥴",0,0,0,
1090,,@jaqunzeta Pero entonces porqué en la alfombra roja se la pasaron separados?? 🙃 wey ya no quiero que me “importe”,0,0,0,1090.0
2390,2390.0,"@HAM120539 @Amina_maktub @Unbogo @PaulosorioDr @AdolfoROrtega @Jhtm1982Torres @FerCoronaG @Tupeorp39518112 @ASAS27971976 @anitamartindc @cevalloslaura @alegvilla1 @LU15_CDMX @luisghernan @luireed @BerdejoVictor @favila_ignacio @IzqLatamMarx @lupibm2509 @vontau42 @ligthtowers Es el caso q no ha habido un gobernante y su gabinete q no fuera mañoso, mafioso, hipócrita y mezquino.

Puro bandido difícil de combatir. 

Con Calderón y Fox,es como luchar con la hidra. 

Es una BOA de muchas cabezas.

NO SON NOMÁS LOS SICARIOS DE  A PIE SON LOS EXPRESIDENTES. https://t.co/92kRkUDEQc",0,1,1,
988,988.0,"El 'Conejo malo' sigue rompiendo estereotipos 👏... y se ve 😍

https://t.co/i291Hv1Y8n",0,0,0,
4549,,"@MentirasPiados8 @circulo_depoder @lopezobrador_ @RicardoAnayaC @Oscar_Dorantes @Jeglemqz @Yesenia_MerazAl @PepeLuigui21 @Teresadelamerce @princexita855 Ricardo Anaya, ve las mismas mentiras que muchos mexicanos quiénes no estamos entoloachados por el mesías, es una realidad que desdé que López llegó al poder nuestro país está peor que Nunca.",0,0,0,4549.0
1356,,Jajajaja ! serán muy pero muy paguatos ! los estudiantes si lo dejan entrar a la Universidad pinchi parásito huevón traidor HDLCH. https://t.co/LQMsZZTAAS,1,1,1,1356.0
2345,2345.0,Pensé que era más noche,0,0,0,
20,20.0,@evelyn_parraA @A_VCarranza Deberían hacerlo en toda la demarcación y no solo donde quieren. Y tanto achichincle. ???,0,0,1,
3047,,"@Papini74 @Elhijodelahuiz3 Me queda muy claro que @lumendoz padece muerte neuronal, primero le empezó a fallar el cerebro, ahora el olfato, que sigue ???",0,0,1,3047.0
4734,4734.0,"@KGR670812 @Alcaldia_Coy @GobCDMX @SSC_CDMX Buenas tardes, agradecemos su mensaje, en atención a su reporte, podría compartirnos por DM la siguiente información: CALLE, ENTRE CALLES, COLONIA, NÚMERO, LOTE Y/O MANZANA, ALCALDÍA, REFERENCIA VISUAL, CÓDIGO POSTAL, NOMBRE, TELÉFONO Y CORREO ELECTRÓNICO. AT",0,0,0,
783,783.0,@chemise02 @cuandoerapavo Había un chichero al final de la Av. Fuerzas Armadas que te ofrecía un preparado con ajonjolí que era la gloria.,0,0,0,
4012,4012.0,Caminar conmigo es frenar cada una cuadra a saludar cualquier perro/gato que se cruze,0,0,0,
319,319.0,@IvanKalderon @EricCisnerosB NOOOOOOOOOOOOO PORQUE ME MALTRATAN A MI QUERIDO BOLA 8,0,0,0,
4519,4519.0,me descojono cómo le pone el culo en la cara JSJSKSKSJAJAJJS https://t.co/8NXwypZzOI,1,0,0,
2728,2728.0,"@76Anabellan Wowww
Lo peor es que no deja de ser cierto.
Veo cómo los jóvenes (incluyendo a mis hijos) están cada vez más sumergidos en una pantalla (móvil o pc) y se olvidan del resto del mundo. 
Y peor aún aquellos adultos que prefieren vivir su vida pegados de un juego por móvil o pc.",0,0,0,
3073,3073.0,"@BancadaSemilla @CongresoGuate oportunismo, populismo una bancada parasita.. cuantas iniciativas de leyes han propuesto y luchado para que se hagan realidad..SE LES HA VISTO VOTAR A LA PAR DEL OFICIALISMO",0,0,0,
3031,,"Ya muchas vacaciones se dio mi cerebro, ya trabaja por favor!!!!",0,0,0,3031.0
1503,,"Mujer se corta la frente al subir a su auto, en Tizimín https://t.co/P5uye38tbj",0,0,0,1503.0
493,,"@mario80co @mbrc11 @ebesc_ @PrezVentura1 ¿Sí sabe que la pobreza se perpetua por falta de educación (entre otras cosas)?
Ese niño explotado tiene muchas menos probabilidades de salir de pobre si no estudia.
En GT el promedio nacional de años de escolaridad es de 6.23. Hay municipios con 4 años y el mayor es de 9 años.",0,0,0,493.0
977,,"@liviabritoof Lastima que ya no se te puede deportar, pero es cuestión de tiempo para que tú asquerosa carrera de actriz se acabe pronto y si quieres justicia primero hazte responsable de la madriza que le dieron al fotógrafo, asqueroso ser humano",0,1,1,977.0
4513,,@LillyTellez Ya cállese señora el PAN NO TE APOYA,0,0,0,4513.0
3912,3912.0,"@HectorRossete @HLGatell Más que malagradecido, es un malnacido.",0,1,0,
371,371.0,@fuckperonia Se te amotinó el gordo bufarron de maslaton? No podes ser presidente. Corta.,0,0,1,
5701,,"@ClouthierManuel @SCJN @AccionNacional @PRI_Nacional @PRDMexico Aaa si, no te preocupes vete a hacer piedra con tus cuates . O ya duermete marrano. https://t.co/DF5d79TFU3",0,0,1,5701.0
3331,,"@MalthusGamba @julioastillero 12 años de Genaro García Luna en direcciones de Seguridad que provocó una expansión del Cartel de Sinaloa al ser socio 
Y la guerra idiota de Calderón,lo único que provocó es que hubiera más Carteles le pasó de noche
Ha de creer que el Ejército afuera por gusto del Presidente 🤬",0,0,0,3331.0
402,402.0,"@HAIFA17570031 @Le013 @MARTHAALONSOPER @germanlm80 @SEDATU_mx Oilaaaaa la que no replica como loro, en su caso cacatúa 😂🤣",0,0,0,
5362,,@RafaBacaJr Los aficionados no te queremos en la cancha. Le haces mal al equipo. Ten dignidad.,0,0,0,5362.0
5331,,@yakuni18 Pues era escalera de madera vieja o como?,0,0,0,5331.0
1999,1999.0,"@caroviggiano @PRI_Nacional @GPPRIDiputados @AccionNacional @PRDMexico @alitomorenoc Ay señora, dejen de dar pena y disfruten la lana que se han robado durante décadas. Ya lléguenle!",0,0,0,
3668,,"@LillyTellez A este tipejo se le olvida la primer responsabilidad del ejército y su finalidad institucional, la protección del pueblo y de la integridad del territorio nacional, NO está al servicio del presidente ni de nadie más",0,0,1,3668.0
3214,,"En honor a la verdad, cuando las elecciones se las gana el NARCO, las razones y las emociones son peccata minuta, salen sobrando. https://t.co/ip78p2Tudc",0,0,0,3214.0
3176,,@jaimemaussan1 Creo q es la mejor evidencia en foto de un platillo volador 🛸y muy pocas personas y cuentas están hablando de ate suceso 🤩🤯,0,0,0,3176.0
2718,,"@duopp2 @gibranrr Hay mucho de cierto,y varias coincidencias .
Aquel protagonista se llamaba 
Ricardo Montalban 
Este traidor
Ricardo Monreal 

Su súbdito era un enano servil

Este gibran  no se queda atrás.

perfecta la comparación mi buen Elpidio 👏👏",0,0,0,2718.0
1560,,@94j9ds @Nobax_117 @Kenultimate23 Gentuza impresentable que no entiende qué es el gamepass,0,0,0,1560.0
2405,2405.0,@PabloIglesias Al que debe llamar el #caudillosanchez es a ti .Que faltas al respeto al rey siempre que abres tu boca y sale su nombre de ella. Además tú ahora ya eres un mindundi más aunque seas amiguito de mucha gente y te ayas aprovechado de tu u esto de vice para conocer y enchufarte.€€,0,0,0,
970,970.0,@DjTHanks20 A que putas van a llegar... a qué los humillen y putee mel jajajaja,1,1,0,
5577,,@fernandaostos Ya chaira inútil ponte vaselina en el clitoris,1,0,1,5577.0
2618,,"@pepe_back07 @SEP_mx Y mira que la pendejada es abismal entre uno y otro.

Esta señora es la encargada de implementar el proyecto y ni siquiera lo entiende😡😡😡",0,0,1,2618.0
1472,,"Total apoyo a @GustavoBolivar, duro con el lameculos de Arizabaleta y la banda similar a el porque hay que decirles la verdad en la cara aunque falsos moralistas les parezca grave decirle que es un TPH. https://t.co/akXONLkeLY",1,1,1,1472.0
1235,,Quiero que llegue una persona que me demuestre que no todas son iguales,0,0,0,1235.0
5289,,La perra verg golazo de Modric,1,0,0,5289.0
4940,,@lamaizita Mas clara no pudiste ser mana aca lo único importante es que ella está feliz y punto los demas que se ahogen con su propio veneno,0,0,0,4940.0
395,395.0,"@MarianaFdezSi Contexto: estaban intentando regresar a los toriles a un toro que estaba burriciego, obviamente les estaba costando mucho trabajo y estos nacos se desesperaron y les aventaron la cerveza.",0,0,0,
480,480.0,"@juncalssolano Elba es de la misma calaña que ustedes.

Este gobierno destruirá la educación pública. Y convertirá las escuelas en iglesias políticas de adoctrinamiento.",0,0,0,
1373,1373.0,@LuchaLibreYYa Este figurón era o es pariente de Alberto del Río no….!?,0,0,0,
2050,2050.0,"@lpazosp Perdón, perdón @lpazosp,¿hubo transparencia cuando una RATA llamado luis pesos @luispazos1 ,se autovendió un libraco siendo funcionario de banobras?,expliquenme porque no me queda claro",0,0,1,
382,,"@Elmer_333 Puedes averiguarlo por ti mismo si quieres, sal a la calle y pregúntale a la gente",0,0,0,382.0
3363,3363.0,"@Mateo_teto @CABJRR_ Soy mujer salame.
Ah sos de boca... Te perdono",0,0,0,
1583,,@OJMata_ El ego de esta gentuza disque influencer!,0,0,1,1583.0
3498,3498.0,@Rafa_Hernando @petrogustavo Creo que el problema no fue la espada. Es que la “procesión” iba acompañada por una soflama política: “Alerta (bis) que camina la espada de Bolívar por América Latina”. La soflama fue copiada del M19 por los chavistas: la “espada” la usaban sus seguidores para referirse a Chávez.,0,0,0,
4869,,@wolfiekarely @dannamedina26 Jamás 🤣🤣,0,0,0,4869.0
1898,,@porlasrisasxd @yao_yaouwu O buscas colegialas sexys y sale un pinche cabron 🤣🤣 travuco 🤣🤣🤣 con la mazacuata de fuera puto asco 🤮🤮🤮🤣🤣🤣,1,1,1,1898.0
5559,,A veces resulta útil ser un poco inútil ✨,0,0,0,5559.0
1875,1875.0,"@ChumelTorres Calmantes Montes Chabelo infantiloide, calma tu irá chiquis tu a tu edad y con tanto odio dudo mucho que sentadote en el cómodo sillón, chingue y chingue la madre sin ayudar en nada vivas tanto como para ver tus deseos de lame hu3vos solo por varo ogt. Nada cambias no eres nada.",1,1,1,
2445,2445.0,"@DonVocero El anciano, el otro es un monigote chupapijas que hace lo que le diga López",1,0,1,
2719,2719.0,"@LectoraSinFinal @FreddyOliviery Negativo, Vila es un doble cara igual que cualquier otro paniaguado, vivo en Yucatán y el estado está endeudado y gasta en estupideces, tengan cuidado porque los puede engañar.",0,0,0,
3361,,"TERREMOTO DE MAGNITUD 6,6 DEJA AL MENOS 46 MUERTOS EN CHINA

 Al menos 46 personas murieron, varias carreteras quedaron bloqueadas y múltiples viviendas fueron ""gravemente...
https://t.co/jy8UoXnzLz",0,0,0,3361.0
664,664.0,"@redirc1 @EododRop Me es igual, se que es lo que crees que nos quedan dos telediarios, y quería decirte claramente que VAS LISTO. Y por cierto, me meto donde me da la gana que es mi hilo, y si no te gusta, ya sabes: AIRE.
Mejor loca que cateto neandertal.",0,0,0,
2555,2555.0,"@RodolfoLanderos Yo no veo error en la jugada, Mbappé biene con una marca personal, Messi viene sólo, la conducción de balón está bien hecha, si hubiera seguido con la carrera hubiera finalizado él, una actitud de niñato malcriado, muy mal de un futbolista profesional",0,0,0,
1655,1655.0,"@Pzule1 🖤Dante Esparda 🖤

Sip eso pasa cuando entras alas brechas dimensionales grandulón Pero bueno solo no cauces problemas en mi dimensión o si no vas a tener bastantes problemas con migo

-Capichi jeje https://t.co/KKcLflZEZH",0,0,0,
2952,2952.0,@mur_almu @pintamonas Es hermosa. Sin duda Brad debió disfrutar mucho cuando estuvo con ella. Es hermosa.,0,0,0,
3630,3630.0,"@Letamaya @lopezobrador_ Y como vas a trabajar en favor de la educacion? Tienes mas de 20 años que no tienes relacion con el medio educativo y seguro tu trabajo va a ser tan arduo como el Secretario de Salud, Derechos Humanos, todologo @m_ebrard excelentes, tapetes y floreros, tengan un poco de dignidad",0,0,0,
1339,1339.0,El conductor mexicano volvió a mencionar a la catracha durante la reciente emisión de “Ventaneando”. https://t.co/oRAsikOJjU,0,0,0,
2277,,@blancoduran @m_ebrard @MaluMicher @marthadelgado @BrendaNLMX @jorgeblancod @EBRARDoristas @MaxSarmientoMTY @RicardoMonrealA @avanzada_n @MProgresistaMX Es broma vdd?? Cualquier persona afín a la 4t es un peligro para México. Y Marcelo es sólo un achichincle más de está 4trera que sólo ha hecho las cosas a su antojo.,0,0,1,2277.0
3249,,"Pienso en cómo me olvidabas y me dejabas sin opciones ¿Todavía hay esperanza o sólo son ilusiones? Sólo oír y acostumbrarme, que no lo hago por mí, que lo hago por vos. Nadie está en tu lugar, nadie tiene razón",0,0,0,3249.0
4891,4891.0,"Qué manera de manipular, y no solamente eso, sino de hacer las de muñeco de paja para simular una contienda. https://t.co/8wbnL555n9",0,0,0,
5074,,Me voy a ir bien vestido por si me lleva la verga,1,0,0,5074.0
1402,,Excelente tarde! Café por favor!,0,0,0,1402.0
5336,,"Lalo: wey se te queda mirando esa vieja
Yop: ps que me vea bien",1,0,0,5336.0
3672,,"9. “… al comienzo vemos gente que ha nacido bajo el signo de Saturno. En primer término, hay un pobre tipejo ocupado en destripar un caballo caído, o, quizá, en cortarle la carne que todavía puede utilizarse. https://t.co/g5xGcdl6SB",0,0,1,3672.0
3555,,Soy con mi foto de gato 😆 https://t.co/aOH5Iyivai,0,0,0,3555.0
1763,,"Si de mezcal se trata, el de Puebla es reconocido a nivel nacional e internacional. 
Disfruta de #ElMejorMezcal, producido y extraído del suelo poblano en la Expo Mezcal #OrgulloPuebla.

🗓️ 9, 10 y 11 de septiembre
📍 @CConvPuebla

#TienesGanasDePuebla https://t.co/AVPOKKhajg",0,0,0,1763.0
3707,,Algo más ridículo no puede haber. Un México que no conocen y detestan. Acostumbrada a tronar dedos la antidemócrata Denise 🤦🏽‍♂️ https://t.co/zGHVXrsUm8,0,0,1,3707.0
4618,4618.0,"@gabrielrufian Gilipollas !!*!! El minuto lo hicieron,pero es evidente q no te gusto el después,ya q apoyáis al 155 y a la no investigación dl 17A,q esquitxa al CNI y a tus amos… deshonrra para cualquier pueblo d bien,vendidos,esquirols,no ganareis más en vuestra traidora vida!no en Catalunya!",1,0,0,
3188,,"@jefeluz @DTaibo el narco fue quien no permitió eso, no culpes a otros",0,0,0,3188.0
5193,5193.0,"Le podre caer mal a ese de Filipinas pero despues con los de Canada me llevo como debe ser, hasta me defienden los maes cada vez que alguien me quiere armar vergueo... Eso no quita que me chinguen el bono pero algo es algo, le caigo bien a los jefes, no a los pupilos",1,1,0,
3051,,"Habla Nestora, mi cerebro: MUTE.",0,0,0,3051.0
1609,1609.0,"@VioletRWitch Tiempo -

De momento voy a ver si lo de crear una rutina funciona.
Necesito volver a ser persona.
Ir a comprar...ir a terapia, ir al parque con los niños...no se...vida normal, menudos días más caóticos. Estoy...algo agobiada -

Sintió al bebé gimotear, era muy dormilón+",0,0,0,
2756,,@dinosafie @juansolervalls Vos metido sos drogadicto mariposon.,0,0,1,2756.0
4508,,"#NotaDeDuelo | La @SCEPgt lamenta el deceso de la señora Arcadia Caballeros Tepeque de Figueroa, madre del viceministro de Infraestructura del @CIVguate, Carlos Rafael Figueroa Caballeros. https://t.co/n8ufI18Y27",0,0,0,4508.0
2482,,¿a ti te pasa igual? https://t.co/Vnj3BIPlZd,0,0,0,2482.0
3937,,"#VencerLaAusencia       
@FelixAndresC  
@Venusdenko_ @NoveleraSoy @detlnovelas1 @horadlanovela  @telenovelo @ANTISOCIAAL__ @nael_cruz @Dime_Shin @SoyEl_RogerMx @YoulGuion7 Silvano amenaza al blandengue de Ángel, o le paga o lo hunde. https://t.co/IFXIpRCurF",0,0,1,3937.0
4565,4565.0,Me hacen encabronar y yo no archivo los chats yo los elimino.,0,0,0,
1598,,Los que huyen de la dictadura apoyando la constitución de un dictador. Por favor no tomen en serio a esta gentuza ignorante. https://t.co/gi6rlqgKg4,0,1,1,1598.0
3212,3212.0,"@_EmilyAnosApata Se ve rancio ese queso, de seguro es de los que huele a patas. https://t.co/D912KmMjZn",0,0,0,
1144,1144.0,@tio_gamboin Me pregunto si pensara lo mismo al momento de darle la mordid al taco de carnitas dominguero?,0,0,0,
3714,,"Si quieren disfrutar de ver a alguien haciendo el ridículo que sea a Emil y Roberto.

Y lo mejor es que son solo 15 minutos, no 120 como con _esa ministra_

Episodio 2. La Canción de Aquiles https://t.co/Kgz8dDx5CR",0,0,1,3714.0
745,,@CaraveoBertha @DeniseDresserG @CitlaHM @ClaudioXGG Ignorante ! Tu solo sirves para servir a López (que en idioma Chairo es Pueblo),0,0,1,745.0
2579,,"@serrepro @Erick_duran1011 @hugoglezp_ si hablamos de buenas camisetas, mira las de brasil 2022, y lo del botón simulando la bandera es un detallazo https://t.co/HqM2cf8Stl",0,0,0,2579.0
4906,,@JoseLop17273090 @ALEGRA1988 Y éste no es el único estudio que ya existe al respecto. Y has escuchado que lo nombre algún doctor twistar de por aquí? Para nada.,0,0,0,4906.0
4131,4131.0,Ya cabrón. https://t.co/VjH0AHDSlJ,1,0,0,
2710,2710.0,"El progresismo siempre va a alcanzar al progresista. 

Te llames @MauNieto @ChumelTorres o Panchito.

Moraleja si ves que tiene un sismo de progresista esa persona ni te le acerques.",0,0,0,
5959,,@epigmenioibarra Y tú no eres fanático…?Creía q eras aparte de arrastrado convenenciero e hipócrita …no se te puede quitar ninguno de estos defectos gachos q tú mismo los sabes pero te vale,0,0,1,5959.0
4479,4479.0,Quien coño es foyth y pq cuesta 45M?? https://t.co/LjjaYrtnVR,1,0,0,
3648,3648.0,Les presumo mi tortillero de Unicornio. 🦄 https://t.co/Y9F2HNXQlm,0,0,0,
5847,,"No.
Pero dice la vice-dictadora-primera ramera-bruja mayor que habrá fiestas en todas las casas y bebedera de guaro por todos lados en honor al komandante.

Con eso de que todos los días los indiferentes buscan excusas para hartarse guaro https://t.co/IIp6AwfvR9",0,0,0,5847.0
4121,,@mcrisssm Jajajaja se te va a subir a la cabeza diría mi papá 🤣,0,0,0,4121.0
